# Process Name: icvmapper,,,,
# CPU Cores: 12,,,,
# Total System RAM (MB): 64026,,,,
# GPU Model: NVIDIA GeForce RTX 2080 SUPER,,,,
# Total GPU Memory (MiB): 8192,,,,
Time,PID,CPU_Usage(%),Memory_Usage(%),GPU_Mem_Used_by_PID(MiB)
14:05:50,1866692,98,0.4,0
14:05:51,1866692,93.2,0.4,0
14:05:52,1866692,83.5,0.4,0
14:05:53,1866692,71.5,0.4,0
14:05:54,1866692,62.7,0.4,0
14:05:56,1866692,50.7,0.4,0
14:05:57,1866692,53.2,0.7,0
14:05:58,1866692,58.3,0.7,0
14:05:59,1866692,60.3,0.7,0
14:06:00,1866692,63.1,0.7,0
14:06:01,1866692,63.8,0.7,0
14:06:02,1866692,66.4,0.7,0
14:06:04,1866692,63.9,0.7,0
14:06:05,1866692,62.4,0.5,0
14:06:06,1866692,59.3,0.5,0
14:06:07,1866692,56.5,0.5,0
14:06:08,1866692,55.4,0.6,0
14:06:09,1866692,57.7,0.6,0
14:06:11,1866692,61.7,1,0
14:06:12,1866692,88.1,2.4,0
14:06:13,1866692,117,2.3,0
14:06:14,1866692,140,2.4,0
14:06:15,1866692,163,1.7,0
14:06:16,1866692,186,2.1,0
14:06:18,1866692,207,3.2,0
14:06:19,1866692,227,2.2,0
14:06:20,1866692,240,2.6,0
14:06:21,1866692,258,2,0
14:06:22,1866692,270,1.1,0
14:06:23,1866692,266,1.1,0
14:06:24,1866692,269,1.7,0
14:06:26,1866692,275,2.6,0
14:06:27,1866692,286,2.9,0
14:06:28,1866692,298,2.8,0
14:06:29,1866692,309,2,0
14:06:30,1866692,322,2.3,0
14:06:32,1866692,336,3.1,0
14:06:33,1866692,344,2.5,0
14:06:34,1866692,353,3,0
14:06:35,1866692,362,2.1,0
14:06:36,1866692,364,1.2,0
14:06:37,1866692,359,1.3,0
14:06:39,1866692,360,1.8,0
14:06:40,1866692,360,2.7,0
14:06:41,1866692,368,2.8,0
14:06:42,1866692,375,2.8,0
14:06:43,1866692,383,2.2,0
14:06:44,1866692,391,2.6,0
14:06:46,1866692,401,3.4,0
14:06:47,1866692,404,2.8,0
14:06:48,1866692,409,3.2,0
14:06:49,1866692,416,2.4,0
14:06:50,1866692,418,1.5,0
14:06:51,1866692,413,1.5,0
14:06:53,1866692,409,1.7,0
14:06:54,1866692,408,2.9,0
14:06:55,1866692,413,3,0
14:06:56,1866692,420,3.3,0
14:06:57,1866692,423,2.6,0
14:06:58,1866692,429,2.8,0
14:06:59,1866692,434,3.1,0
14:07:01,1866692,438,4,0
14:07:02,1866692,440,3.1,0
14:07:03,1866692,447,2.4,0
14:07:04,1866692,452,1.9,0
14:07:05,1866692,448,1.7,0
14:07:06,1866692,444,1.8,0
14:07:08,1866692,445,2.4,0
14:07:09,1866692,443,3.3,0
14:07:10,1866692,446,3,0
14:07:11,1866692,451,2.5,0
14:07:12,1866692,455,2.7,0
14:07:13,1866692,459,2.7,0
14:07:15,1866692,465,4.3,0
14:07:16,1866692,465,3.9,0
14:07:17,1866692,469,3.7,0
14:07:18,1866692,472,3,0
14:07:19,1866692,472,1.9,0
14:07:20,1866692,468,1.9,0
14:07:22,1866692,460,2,0
14:07:23,1866692,461,2.7,0
14:07:24,1866692,463,3.5,0
14:07:25,1866692,465,3.2,0
14:07:26,1866692,469,2.6,0
14:07:27,1866692,472,2.9,0
14:07:29,1866692,476,2.9,0
14:07:30,1866692,477,4.6,0
14:07:31,1866692,482,4,0
14:07:32,1866692,486,3.8,0
14:07:33,1866692,488,3,0
14:07:34,1866692,486,2,0
14:07:35,1866692,483,2,0
14:07:37,1866692,475,2.2,0
14:07:38,1866692,476,3,0
14:07:39,1866692,479,3.7,0
14:07:40,1866692,481,3.5,0
14:07:41,1866692,484,2.9,0
14:07:42,1866692,487,3.1,0
14:07:44,1866692,486,3,0
14:07:45,1866692,490,4.5,0
14:07:46,1866692,494,3.7,0
14:07:47,1866692,497,4,0
14:07:48,1866692,498,3.1,0
14:07:49,1866692,497,2.3,0
14:07:51,1866692,490,2.3,0
14:07:52,1866692,487,2.4,0
14:07:53,1866692,485,2.7,0
14:07:54,1866692,487,3.6,0
14:07:55,1866692,490,3.6,0
14:07:56,1866692,492,3.8,0
14:07:58,1866692,490,3.3,0
14:07:59,1866692,494,3.5,0
14:08:00,1866692,496,4.6,0
14:08:01,1866692,500,3.7,0
14:08:02,1866692,501,3.9,0
14:08:03,1866692,504,3.6,0
14:08:05,1866692,505,2.4,0
14:08:06,1866692,499,2.4,0
14:08:07,1866692,496,2.4,0
14:08:08,1866692,493,2.5,0
14:08:09,1866692,493,2.9,0
14:08:10,1866692,494,3.8,0
14:08:12,1866692,496,3.8,0
14:08:13,1866692,495,3.9,0
14:08:14,1866692,497,3.2,0
14:08:15,1866692,500,3.6,0
14:08:16,1866692,503,4.5,0
14:08:17,1866692,506,4.2,0
14:08:19,1866692,508,4.3,0
14:08:20,1866692,507,3.2,0
14:08:21,1866692,506,2.5,0
14:08:22,1866692,504,2.5,0
14:08:23,1866692,502,2.5,0
14:08:24,1866692,499,2.7,0
14:08:25,1866692,499,3.2,0
14:08:27,1866692,498,4.1,0
14:08:28,1866692,499,3.9,0
14:08:29,1866692,501,3.8,0
14:08:30,1866692,503,3.5,0
14:08:31,1866692,505,3.7,0
14:08:32,1866692,508,4.9,0
14:08:34,1866692,508,5,0
14:08:35,1866692,510,4.5,0
14:08:36,1866692,511,3.9,0
14:08:37,1866692,510,2.7,0
14:08:38,1866692,508,2.8,0
14:08:40,1866692,506,2.8,0
14:08:41,1866692,501,    PMON=$(nvidia-smi pmon -c 1 -s u -d 1),0
14:08:42,1866692,501,3.5,0
14:08:43,1866692,502,4.3,0
14:08:44,1866692,503,4.6,0
14:08:45,1866692,505,4.2,0
14:08:47,1866692,507,3.7,0
14:08:48,1866692,506,3.7,0
14:08:49,1866692,508,4.9,0
14:08:50,1866692,511,4.2,0
14:08:51,1866692,513,4.7,0
14:08:52,1866692,514,3.7,0
14:08:54,1866692,514,3,0
14:08:55,1866692,509,3,0
14:08:56,1866692,507,3,0
14:08:57,1866692,505,3.1,0
14:08:58,1866692,503,3.2,0
14:08:59,1866692,504,3.8,0
14:09:00,1866692,506,4.7,0
14:09:02,1866692,507,4.4,0
14:09:03,1866692,506,3.9,0
14:09:04,1866692,508,4,0
14:09:05,1866692,510,4.9,0
14:09:06,1866692,513,4.3,0
14:09:07,1866692,514,4.6,0
14:09:08,1866692,516,4.2,0
14:09:10,1866692,514,3.1,0
14:09:11,1866692,512,3.1,0
14:09:12,1866692,510,3.2,0
14:09:13,1866692,509,3.2,0
14:09:14,1866692,507,3.3,0
14:09:15,1866692,507,3.9,0
14:09:17,1866692,508,4.7,0
14:09:18,1866692,507,4.5,0
14:09:19,1866692,508,4.4,0
14:09:20,1866692,510,4.2,0
14:09:21,1866692,512,4,0
14:09:22,1866692,514,5.5,0
14:09:24,1866692,514,4.6,0
14:09:25,1866692,515,5.1,0
14:09:26,1866692,516,3.9,0
14:09:27,1866692,515,3.2,0
14:09:28,1866692,514,3.2,0
14:09:29,1866692,512,3.3,0
14:09:30,1866692,510,3.3,0
14:09:32,1866692,506,3.4,0
14:09:33,1866692,506,4.2,0
14:09:34,1866692,507,4.9,0
14:09:35,1866692,508,4.6,0
14:09:36,1866692,510,4.5,0
14:09:37,1866692,511,4.2,0
14:09:39,1866692,510,4.3,0
14:09:40,1866692,513,5.6,0
14:09:41,1866692,514,4.8,0
14:09:42,1866692,516,4.5,0
14:09:43,1866692,517,4.6,0
14:09:44,1866692,516,3.4,0
14:09:46,1866692,514,3.4,0
14:09:47,1866692,511,3.4,0
14:09:48,1866692,509,3.4,0
14:09:49,1866692,507,3.6,0
14:09:50,1866692,508,4.3,0
14:09:51,1866692,509,5,0
14:09:52,1866692,510,4.8,0
14:09:54,1866692,509,4.3,0
14:09:55,1866692,510,4.5,0
14:09:56,1866692,512,4.3,0
14:09:57,1866692,514,5.9,0
14:09:58,1866692,516,5.3,0
14:09:59,1866692,517,4.5,0
14:10:01,1866692,518,4.8,0
14:10:02,1866692,515,3.6,0
14:10:03,1866692,513,3.6,0
14:10:04,1866692,512,3.6,0
14:10:05,1866692,510,3.7,0
14:10:06,1866692,509,3.8,0
14:10:07,1866692,509,4.2,0
14:10:09,1866692,508,5.1,0
14:10:10,1866692,508,5.3,0
14:10:11,1866692,510,4.9,0
14:10:12,1866692,511,4.6,0
14:10:13,1866692,513,4.5,0
14:10:14,1866692,515,6,0
14:10:16,1866692,514,5.7,0
14:10:17,1866692,516,5.5,0
14:10:18,1866692,516,4.9,0
14:10:19,1866692,516,3.8,0
14:10:20,1866692,514,3.8,0
14:10:21,1866692,513,3.8,0
14:10:22,1866692,511,3.8,0
14:10:24,1866692,508,3.9,0
14:10:25,1866692,507,4,0
14:10:26,1866692,507,5,0
14:10:27,1866692,508,5.6,0
14:10:28,1866692,509,5.3,0
14:10:29,1866692,510,4.8,0
14:10:31,1866692,510,4.8,0
14:10:32,1866692,511,5.2,0
14:10:33,1866692,514,6.2,0
14:10:34,1866692,514,5.4,0
14:10:35,1866692,515,5.1,0
14:10:36,1866692,517,3.9,0
14:10:38,1866692,515,3.9,0
14:10:39,1866692,512,3.9,0
14:10:40,1866692,511,3.9,0
14:10:41,1866692,509,3.9,0
14:10:42,1866692,508,4,0
14:10:43,1866692,507,4.1,0
14:10:44,1866692,507,5.2,0
14:10:46,1866692,508,5.7,0
14:10:47,1866692,508,5.7,0
14:10:48,1866692,509,5,0
14:10:49,1866692,510,5.1,0
14:10:50,1866692,511,5.5,0
14:10:51,1866692,513,6.3,0
14:10:53,1866692,513,5.4,0
14:10:54,1866692,513,4.9,0
14:10:55,1866692,514,4.1,0
14:10:56,1866692,513,4.1,0
14:10:57,1866692,512,4.2,0
14:10:58,1866692,510,4.2,0
14:11:00,1866692,509,4.2,0
14:11:01,1866692,506,4.2,0
14:11:02,1866692,505,4.3,0
14:11:03,1866692,506,4.8,0
14:11:04,1866692,507,5.8,0
14:11:05,1866692,508,5.9,0
14:11:06,1866692,508,5.2,0
14:11:08,1866692,508,5.5,0
14:11:09,1866692,510,6.1,0
14:11:10,1866692,511,5.7,0
14:11:11,1866692,512,5.8,0
14:11:12,1866692,513,5.5,0
14:11:13,1866692,514,4.4,0
14:11:15,1866692,512,4.4,0
14:11:16,1866692,510,4.4,0
14:11:17,1866692,508,4.4,0
14:11:18,1866692,507,4.4,0
14:11:19,1866692,506,4.5,0
14:11:20,1866692,505,4.6,0
14:11:21,1866692,505,5.6,0
14:11:23,1866692,505,6.2,0
14:11:24,1866692,505,5.9,0
14:11:25,1866692,506,5.4,0
14:11:26,1866692,507,5.3,0
14:11:27,1866692,508,5.3,0
14:11:28,1866692,510,6.7,0
14:11:29,1866692,511,6,0
14:11:31,1866692,510,5.4,0
14:11:32,1866692,511,5.9,0
14:11:33,1866692,510,4.4,0
14:11:34,1866692,509,4.8,0
14:11:35,1866692,508,4.8,0
14:11:36,1866692,507,4.8,0
14:11:37,1866692,506,4.8,0
14:11:39,1866692,503,4.8,0
14:11:40,1866692,502,4.9,0
14:11:41,1866692,501,4.9,0
14:11:42,1866692,500,4.9,0
14:11:43,1866692,498,4.9,0
14:11:44,1866692,497,4.9,0
14:11:46,1866692,494,4.9,0
14:11:47,1866692,493,4.9,0
14:11:48,1866692,492,4.9,0
14:11:49,1866692,490,4.9,0
14:11:50,1866692,489,4.9,0
14:11:51,1866692,488,4.9,0
14:11:53,1866692,486,4.9,0
14:11:54,1866692,484,4.9,0
14:11:55,1866692,482,4.9,0
14:11:56,1866692,481,4.9,0
14:11:57,1866692,480,4.9,0
14:11:58,1866692,479,2.9,0
,,,,
,,,,
,,,,
,,518,6.7,
,,,4.19 Gb,
,,,,
Ideal allocation,,~8 Cores,~7 Gb,
